企業名,勤務地,給与,初年度年収
株式会社C-mind ,【勤務地詳細】 東京都新宿区大久保2-5-23新宿辻ビル10階（総合受付5階） ※クライアント・お…,■月給：23万円〜70万円（経験・能力等考慮の上、規定により優遇） ※固定残業代：20時間分　3万5千円〜…,初年度年収のデータなし
パーソルテンプスタッフ株式会社 ,東京都、神奈川県、大阪府、京都府、兵庫県、愛知県の大手・優良企業 ★転居を伴う転勤はありません ★…,【東京】月給20万9700円以上＋賞与年2回 【神奈川】月給20万円以上＋賞与年2回 【大阪】月給19万7400円以…,250万円～350万円
グルーコードシステムズ株式会社 ,※転勤はありません※U・Iターン歓迎 【東京本社】東京都渋谷区渋谷3-10-19　渋谷MJ-2ビル…,月給30万円〜 ※当社給与規程に準じて能力や適性、経験を考慮し決定します。 ※試用期間3カ月（待遇変化…,300万円～1500万円
株式会社プラスアルファ・コンサルティング ,★週2日はリモートワーク運用！ 【本社】 東京都港区浜松町1-18-16 住友浜松町ビル6F,月給28万円以上 ＋ 諸手当 ＋ 賞与（年2回） ※経験・スキルを考慮の上、決定します。 ※上記には固定残…,420万円～700万円
株式会社アライブ．ｃｏｍ ,★転勤なし ★テレワークOK 【本社】 東京都港区芝大門2-9-8　シャンデールビル4F 【プロジ…,月給30万円〜 ＋残業代100％別途支給 ＋各種手当 ＋賞与2回 ※【前職の給与以上】を保証します。 ※経験…,450万円～850万円
株式会社優誠 ,【なんばからアクセス良好！最寄り駅から徒歩3分の好立地】 ★2019年7月にオフィスを移転・拡大し…,"月給23万5,000円〜35万円＋インセンティブ＋諸手当＋賞与 ※年齢・経験・スキルを考慮の上、当社規定に…",300万円～850万円
株式会社エルバークギア ,《転居をともなう転勤なし／UIターンも歓迎♪》 ■中目黒本社 東京都目黒区中目黒4-8-5 藤井ビ…,月給18万円〜 ★経験者は前職の給与額を保証（スキルチェンジを除く）★ ※スキルや年齢を考慮して決定…,初年度年収のデータなし
株式会社テクノソリューションズ ,【東京本社】 東京都新宿区西新宿6-6-3 新宿国際ビルディング新館4F アクセス： 都営地下鉄大…,月給26万円以上 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヵ月（待遇の変更なし） ※…,初年度年収のデータなし
株式会社free mova,《現在リモートワーク&WEB面接を実施中※本社目黒駅徒歩30秒》 本社／東京都品川区上大崎2-15…,月給23万円〜30万円＋賞与2回＋昇給2回＋インセンティブ ※上記金額には、固定残業手当30時間分（4万2000…,400万円～600万円
オリジナル設計株式会社 ,【転勤なし／本社勤務】 東京都渋谷区元代々木町30−13 ONEST元代々木スクエア3F ＜交通ア…,"月給：22万9,000円〜41万6,000円＋賞与年2回＋各種手当 ※経験・年齢・能力を考慮のうえ、決定致します。",360万円～500万円
フォーザウィン株式会社 ,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給30万円〜 【前給以上を必ず保証します】 ※上記の金額に経験・能力等を考慮し加給します。 ※試用期…,400万円～1000万円
フォーザウィン株式会社 ,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給30万円〜 【前給以上を必ず保証します】 ※上記の金額に経験・能力等を考慮し加給します。 ※試用期…,450万円～1000万円
popIn株式会社 ,◆転勤なし ◆在宅勤務可能 東京都港区六本木6-10-1 六本木ヒルズ森タワー 39階 ★在宅勤務…,月給36.7万円〜51.4万円 ※待遇・条件については、年齢、経験、能力を考慮の上、社内規定に従って決定し…,500万円～700万円
株式会社ブール・ジャパン ,東京都、神奈川県、埼玉県の各プロジェクト先 ※勤務地は希望を考慮 ※転居を伴う転勤なし ※リモート…,月給20万円〜45万円+利益分配金+各種手当 ★テストエンジニア経験者は月給25万円以上 ※経験・能力・保…,240万円～580万円
株式会社ExPlay ,■仙台(仙台駅徒歩4分)or東京(六本木ヒルズ&在宅)勤務 ■転勤なし ■東京はリモートで仙台のマ…,"月給333,000円〜667,000円 ※経験やスキルを考慮し当社規定により優遇します。 ※試用期間3ヵ月間も同条…",400万円～800万円
株式会社SHIFT ,【東京本社】 東京都港区麻布台2-4-5 メソニック39MTビル ★本人の意志に沿わない転居を伴う…,"月給:28万3,334円〜33万3,334円 ※年齢・スキルなどを考慮のうえ、当社規定に基づき決定いたします ※試…",340万円～400万円
株式会社日立ソリューションズ・クリエイト ,★転勤なし ★品川シーサイド駅直結1分 東京都品川区東品川4丁目12番6号 品川シーサイドキャナル…,"月給225,000円以上 ＋ 賞与年2回 ※経験・能力を考慮のうえ、当社規程により決定します。 ※試用期間（3…",420万円～660万円
太栄コンサルタンツ株式会社 ,※転勤なし！ ※U・Iターンも歓迎！ 本社／名古屋市中区千代田3-26-18 ◎愛知県内および近隣…,月給20万円以上＋賞与年2回 ※あなたの転職が不利にならないよう、 　これまでの経験やスキルを考慮し、…,400万円～700万円
フォーザウィン株式会社 ,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給30万円〜 【前給以上を必ず保証します】 ※上記の金額に経験・能力等を考慮し加給します。 ※試用期…,400万円～1000万円
株式会社アイエム ,■希望を考慮し、本社またはクライアント先（首都圏）にて勤務 ★在宅ワークも導入しています ※本社／…,■月給30万円〜45万円＋残業代＋各種手当 ※経験・スキル・年齢を考慮の上、決定します。,400万円～600万円
株式会社ツリーベル ,【U・I・Ｊターン歓迎／転勤なし／プロジェクトの半数が自社内開発】 当社各拠点 もしくは首都圏、関…,★経験者であれば、月給35〜60万円！前給ももちろん考慮！ 【未経験者】 月給25〜35万円 ※上記には固定…,420万円～800万円
CBcloud株式会社 ,★転勤なし！ ★リモートワーク推進中！ ┗業務都合に合わせ、2日に1回ほどのペースで出社しています…,月給33万5000円〜 ※経験・スキル等を考慮の上決定します ※45時間分の固定残業代7万9762円含む(超過分は…,300万円～600万円
株式会社 ソリューション・アンド・テクノロジー ,【転勤なし／リモートワークを導入しています】 〈本社〉 東京都千代田区四番町６番　東急番町ビル８階…,月給28万4600円〜69万3000円＋賞与年2回 ※経験・能力を考慮し、決定します。,400万円～970万円
株式会社アンスール ,《東京 または 大阪 のいずれかのオフィス》 ※希望を考慮して配属します 〈東京本社〉 ■東京都中…,〈前給保証〉 月給30万円〜 ※経験やスキルを考慮して決定します ※固定残業代20時間(3万7500円〜)含む。…,初年度年収のデータなし
フォーザウィン株式会社 ,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給25万円〜 【前給以上を必ず保証します】 ※上記の金額に経験・能力等を考慮し加給します。 ※試用期…,400万円～1000万円
サングローブ株式会社 ,【早期入社できる方は優先選考！】転勤なし／東京（新宿）、大阪（梅田）◆勤務地を選べます★服装自由…,【1.営業経験者】 月給35万円〜 【2.Webインサイドセールス営業経験者】 月給52万円〜 【3.営業未経験…,350万円～1000万円
株式会社SHIFT ,東京・大阪の各拠点 ※本人の意志に沿わない転居を伴う転勤はなし ★全拠点最寄駅徒歩5分以内 ★U・…,"月給:33万3,334円~49万5,834円 (上記には固定残業代45時間分/8万6,800円~12万9,000円含みます。) 月給:50…",400万円～600万円
株式会社日立ソリューションズ・クリエイト ,★転勤なし ★品川シーサイド駅直結1分 東京都品川区東品川4丁目12番6号 品川シーサイドキャナル…,"月給225,000円以上 ＋ 賞与年2回 ※経験・能力を考慮のうえ、当社規程により決定します。 ※試用期間（3…",420万円～660万円
アベールソリューションズ株式会社 ,【本社】 東京都中央区銀座5丁目9−8　クロス銀座6F 【プロジェクト先】 東京都内のみ,"月給312,500円〜560,000円 ※35時間分（68,789円〜123,270円）の固定残業代含む。 ※超過分は別途支給。",500万円～896万円
パーソルテンプスタッフ株式会社 ,東京都、神奈川県、大阪府、京都府、兵庫県、愛知県の大手・優良企業 ★転居を伴う転勤はありません ★…,【東京】月給20万9700円以上＋賞与年2回 【神奈川】月給20万円以上＋賞与年2回 【大阪】月給19万7400円以…,250万円～350万円
株式会社リクルート ,◆仙台・宇都宮・大阪にて積極採用中！ 通いやすいオフィス環境！リモートワークなどにも対応中！ 【営…,月給26万2954円〜39万0887円 ※経験・年齢を考慮の上、当社規定により優遇します ※上記金額には月35時間…,420万円～625万円
株式会社3CA ,★転勤なし ★配属はお住まいや通勤も考慮して決定します。 首都圏（埼玉・千葉・東京・神奈川）の各プ…,年俸制／450万円〜800万円 【想定月収】37.5万円〜66.6万円 ※経験・能力・スキル等を考慮し、決定しま…,450万円～800万円
株式会社エー・エス・エル ,東京都、埼玉県、神奈川県、千葉県内のプロジェクト先 ※希望、お住まいを考慮の上、決定します。 ※転…,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…,400万円～800万円
日本情報クリエイト株式会社 ,【 希望エリア配属／転勤なし 】 東京・名古屋・大阪・福岡・埼玉・札幌・仙台・金沢・広島のいずれか…,月給 20万円〜35万円（一律手当含む）＋ 賞与年2回 ※月間チームインセンティブあり （試用期間終了後、…,330万円～400万円
株式会社クレディセゾン ,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",600万円～1000万円
株式会社 High mind ,【 クライアント先へはご自宅からの直行直帰 】 ★愛知県、岐阜県、三重県の東海エリア ※ご希望や居…,【 月給25万円〜50万円＋インセンティブ 】 経験・スキル・前職給与などを考慮の上、決定します。 固定…,350万円～800万円
株式会社クレディセゾン ,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",600万円～1000万円
株式会社クレディセゾン ,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",600万円～1000万円
株式会社アイエスエフネット ,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給40万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当を別途支給 ★経験・スキルを考慮して…,480万円～1000万円
株式会社アイエスエフネット ,【リモート案件多数】 ★月~20万/年~240万のインセンティブ賞与 ★UIターン歓迎(上京時に寮…,<東京/埼玉/神奈川/千葉> (1)月給27万円~＋インセンティブ賞与・諸手当 <静岡/愛知/大阪> (2)月給26.5万…,306万円～1000万円
株式会社アイエスエフネット ,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給35万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当 ▼設計構築5年以上の経験者 【月給40…,450万円～1000万円
NTTレゾナント・テクノロジー株式会社 ,★転勤なし ★東京・福岡募集 ★フルリモートワーク ■東京都千代田区神田神保町2-11-15住友商…,"月給250,000円〜＋残業代全額支給＋賞与年2回 ※前職給与、経験や能力を最大限考慮の上、決定いたします…",400万円～800万円
センコー株式会社 ,【在宅勤務も相談OK】希望に応じて京都本社（京都市伏見区）、東京オフィス（千代田区）に配属します。…,月給26万円〜100万円＋手当＋インセンティブ＋賞与 ★インセンティブは青天井 一人ひとりの成長度合いに…,500万円～1300万円
株式会社エージェントゲート ,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…,300万円～1000万円
株式会社エージェントゲート ,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…,300万円～1000万円
株式会社エージェントゲート ,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…,300万円～1000万円
株式会社エージェントゲート ,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…,300万円～1000万円
株式会社エージェントゲート ,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…,300万円～1000万円
株式会社コンフィデンス ,＊---勤務地は希望を考慮して決定---＊ 【東京・神奈川・千葉・埼玉】を中心とした 各プロジェク…,【経験者】 月給:22万円〜70万円＋諸手当（残業代100％支給など）＋賞与年2回 【未経験】 月給:20万円以…,300万円～700万円
アデコ株式会社 ,★転勤なし ★首都圏または関西・東海エリア限定採用 各エリア内の大手・優良企業での勤務となります。…,月給23万9000円〜83万9000円 ＋ 残業代1分単位支給 ＋ 賞与（年2回） 【モデル月収例】 ・20代(構築経験…,350万円～1000万円
株式会社RUSHNetwork ,★転勤なし ★車通勤OK（駐車場完備） ★社用車を1人1台貸与 愛知県名古屋市中川区草平町1-8-…,◆月給25万〜40万円 ※経験・スキル等を考慮の上、当社規定により決定します。 ※試用期間は最大3ヶ月（…,300万円～400万円
株式会社日本ヒュウマップ ,【全国（沖縄を除く）各地で募集中】 ※基本直行直帰スタイル ※店舗等の詳細はHPをご参照ください。…,"月給21万700円〜28万8,700円（時間外手当別途支給） ※年齢により金額が変わります。 ※その他条件により…",300万円～450万円
株式会社ウィルオブ・ワーク ,《転勤なし！リモートワーク、在宅勤務もあり！》本社もしくは各プロジェクト先（1都3県） ※ご希望は…,"月給22万2,500円以上〜23万円＋賞与年2回 ※能力を考慮して最終的に決定します。 ※固定残業代（月20時間…",320万円～350万円
アルユーアイ株式会社 ,《★首都圏（神奈川、千葉、埼玉）のプロジェクトで積極採用！》 《★希望勤務地を考慮》 《★U・Iタ…,【インフラエンジニア経験者】 月給25万円〜50万円＋賞与（支給条件あり）＋各種手当 ※経験・スキル等を…,350万円～600万円
株式会社アクシス・クリエイト ,東京など首都圏(東京・神奈川・埼玉・千葉)、関西(大阪、兵庫、京都)のプロジェクト先 ※リモートワ…,<首都圏（東京本社所属）> 月給21万4000円以上 <関西（大阪支店所属）> 月給20万3000円以上 ※経験・能…,250万円～500万円
株式会社ウイングプラス ,首都圏の各プロジェクト先【東京・神奈川・埼玉・千葉】 ★転勤なし ★U・Iターン歓迎 【プロジェク…,月給:25万円〜60万円＋諸手当（残業代100％支給など）＋賞与年3回＋決算賞与（業績による） ※経験・年…,350万円～700万円
株式会社GSI ,★勤務地は東京・大阪・札幌・福岡・仙台が選べます！ ★新OPENの仙台は積極採用中 ★100％転勤…,〈月給〉 ◆経験者 東京：25万円〜＋賞与年2回 大阪：24万円〜＋賞与年2回 仙台：23万円〜＋賞与年2回 …,初年度年収のデータなし
SGビジネス株式会社 ,本社（横浜）または首都圏（東京・神奈川・千葉・埼玉）のプロジェクト先 ※勤務地は希望を考慮して決定…,月給:25万円〜45万円 ＋ 賞与年2回 ※経験・能力・スキル等を考慮の上、決定します。 ※固定残業代（40…,350万円～630万円
株式会社三鋭システム ,転勤なし！本社または首都圏を中心とする顧客先！ 本社／東京都千代田区外神田5-1-3　ニュー末広ビ…,月給21万5000円〜 ※未経験者の初任給、半年後に一度昇給あり。 ※上記金額には、時間外労働の有無に関わ…,250万円～550万円
株式会社divx ,★転勤なし ★自社オフィス（出社）&在宅勤務 ★フルリモート（応相談） 在宅勤務（リモートワーク）…,【月給】37万5000円〜（固定残業代含む） ※内定を出す場合は【前職の給与以上】を保証します。 ※固定残…,450万円～1002万円
株式会社SNSコーチ ,＊リモートワークで自由に働く！＊ 勤務スタイル リモートワークの働き方になります。責任は伴いますが…,月給:30万円〜＋インセンティブ＋賞与年１回 ※経験・スキルに応じて、当社規定により決定します。 ※残…,360万円～500万円
株式会社クラフト ,【東京23区・神奈川県のプロジェクト先】 東京都千代田区/東京都中央区/東京都港区 東京都新宿区/…,月給21万2000円〜＋賞与年2回（年間4ヶ月分／昨年度実績） ※経験・能力を考慮し、当社規定により優遇い…,330万円～850万円
ジェイ・ライン株式会社 ,【大阪本社】 大阪府大阪市西区南堀江1-11-1　三共四ツ橋ビル11F ※転勤の可能性はありません…,月給30万円〜45万円＋インセンティブ ※経験・能力により優遇します。 ※上記には固定残業代（7万1480円…,420万円～600万円
パーソルワークスデザイン株式会社 ,【UIターンの方も活躍中！】 【宮崎駅前 KITENビル内】 ◆宮崎第1アウトソーシングセンター…,月給 18万円〜25万円 +残業代100%支給 ＋諸手当 ※経験、能力を考慮の上、当社規程により優遇 ※残業代(…,260万円～410万円
Earth Technology株式会社 ,≪転勤なし！希望・通勤時間をしっかり考慮し、話し合いの上で決定します≫※U・Iターンも歓迎！ ◎本…,"◆関東エリア：月給225,000円以上＋賞与年2回 ◆関西エリア：月給215,000円以上＋賞与年2回 ◆札幌エリア…",300万円～500万円
株式会社ライズテック ,《在宅勤務実施中！》本社またはプロジェクト先(東京都内中心)での勤務となります。 ◆本社／東京都中…,月給23万円〜45万円 ※経験やスキル、前職時の給与を考慮した上で決定します。 【モデル月収】 ・28歳／…,300万円～550万円
クラウンコンサルティング株式会社 ,本社／東京都江東区青海2-7-4 the SOHO 7F ※転居を伴う転勤はありません。 ※研修期…,月給25万円以上＋賞与年2回 ※経験、能力を考慮の上、決定いたします。 ※上記には、固定残業代（月15時…,300万円～550万円
Delivery Hero Japan株式会社 ,★全国各エリアで募集！新拠点続々オープン！ ★各エリアのクライアント先へはご自宅からの直行直帰とな…,年俸300万円〜500万円＋インセンティブ 【営業リーダー】 年俸580万円〜650万円＋賞与 ※神奈川県、宮城…,300万円～650万円
株式会社エム・フィールド ,【五反田オフィス】 東京都品川区東五反田2-7-18 SOWA五反田ビル4F もしくはプロジェクト…,月給24万円〜 ※経験やスキルにより考慮します。 ※経験者は基本的に前給を保証します。,350万円～700万円
IFS株式会社 ,《★リモートワークも実施中（全体の約80%）》 《★五反田オフィスで積極採用！》 《★転居をともな…,月給 25万円〜60万円 ＋ (各種手当) ※経験・スキル・能力等を考慮して優遇します。 ※上記金額には固定…,300万円～750万円
株式会社ケアリッツ・アンド・パートナーズ ,【交通費全額支給・転居を伴う転勤なし】 ★新宿ミライナタワー、または都内、埼玉県、神奈川県、千葉県…,■月給35万円〜80万円＋諸手当＋賞与2回 ※経験・能力・前職の給与を考慮して決定いたします ※試用期間3…,450万円～1020万円
株式会社VSN ,東京・名古屋・大阪の大都市、および関東・中部・近畿地域のプロジェクト先。 ※希望勤務地に関してはご…,【基本給】月給20万〜77.5万円（+別途手当支給） ※支給額は年齢、能力により、当社規定により決定します…,450万円～800万円
株式会社アミストロング ,東京都台東区の本社　または　東京都・埼玉県・千葉県・神奈川県にある各プロジェクト先。※ご希望を考慮…,"月給289,075円〜520,313円 ※経験・能力に応じて決定します。 ※固定残業代20時間分（39,075円〜70,313…",450万円～700万円
株式会社オルトプラス ,【交通費全額支給】 ★本社（「池袋駅」徒歩8分）または東京都内を中心とした各プロジェクト先 ■本社…,■月給25万円〜50万円 ※経験・スキルを考慮して決定します ※試用期間3ヵ月あり（期間中の待遇に変更な…,初年度年収のデータなし
タイズ株式会社 ,東京都23区内の各プロジェクト先 ※希望・交通費支給上限内を考慮して決定します。 【本社】 東京都…,"IT業界未経験 月給：200,000円〜 ※経験・能力を考慮のうえ、決定致します。",240万円～450万円
株式会社VSN ,【関西・東海エリアでも積極採用中】 東京・名古屋・大阪の大都市、および関東・中部・近畿地域のプロジ…,【基本給】月給20万〜77.5万円（+別途手当支給） ※支給額は年齢、能力により、当社規定により決定します…,350万円～800万円
株式会社アビリティ ,本社または東京23区内と首都圏（神奈川、埼玉、千葉）を中心とした各プロジェクト先 ※転勤はありませ…,"月給:35万円〜50万円＋賞与年2回 ※経験・能力を考慮の上で決定します。 ※固定残業代（月35時間／73,82…",450万円～1000万円
株式会社ジョブサポート ,東京23区内、都内近郊（神奈川、千葉、埼玉）のプロジェクト先 ※転居を伴う転勤はありません。勤務地…,"月給21万5,000円〜45万円 ※経験・能力を考慮のうえ、当社規定により優遇いたします。 ※上記月給には固…",250万円～550万円
株式会社Freedoming ,都内を中心とした一都三県のプロジェクト先 ※希望を考慮し、配属します ※自社サービス・受託などの案…,"月給280,000円以上 ＋ 諸手当 ＋ 決算賞与（年1回） ※経験・能力を考慮した上で決定いたします。 ＜前…",336万円～600万円
オブザーブ株式会社 ,東京・神奈川・千葉・埼玉の各プロジェクト先にて勤務。 ★転居を伴う転勤なし ★プロジェクトによりリ…,月給38万円以上 ※前職給与保証。経験・スキル・年齢を考慮の上、決定します。 ※試用期間3か月（待遇に…,500万円～800万円
ラーニンギフト株式会社 ,★転勤なし ★勤務地はご希望を考慮 東京都、神奈川県、千葉県、埼玉県、 大阪府、兵庫県、京都府、…,【経験1年未満の方】 月給23万円〜35万円 ※IT業界にて何らかの実務経験1ヶ月以上の方 ※何らかの言語で…,400万円～800万円
株式会社ISS ,★リモートワーク実施中 ◆本社（社内開発／東京都品川区西五反田）もしくは、東京23区・神奈川県（横…,月給25万円〜50万円+各種手当+賞与年2回 ※経験・スキル・能力・前職給与などを考慮して優遇します。 ※…,300万円～600万円
TMES株式会社 ,《★在宅勤務・テレワークあり（週1回）★》 転勤なし 【東京本社】 ▼住所 東京都港区芝浦4-13…,◆月給25万円〜36万円＋賞与2回＋残業手当（発生した分は全額支給） ※あなたのご経験・スキル・ご年齢…,370万円～600万円
アイコムシステック株式会社 ,【自習室・ライブラリーなど環境◎】 ★転勤なし ★NEC・NTTデータグループなど大手企業が中心…,【月給】36万円以上 ※前職給与保証 ※さらに年齢、経験などを考慮します ※賞与前年実績5.2ヵ月分 ※試…,400万円～1000万円
株式会社ルイーダアカデミー ,本社または各プロジェクト先（東京都23区内のみ） ※県外転勤なし ※8割がリモート案件 ※希望の案…,月給：23万円〜50万円 ※経験、年齢を考慮のうえ決定します。 ※固定残業代（3万円〜/月20時間分含む） …,300万円～700万円
ジャパニアス株式会社 ,【自社内または全国のプロジェクト先】 ＊転居を伴う転勤なし ＊U／Iターン歓迎 ＊全国で面接実施…,月給:28万円以上＋各種手当（残業代100％支給など）＋賞与年2回 ※経験・年齢・能力を考慮のうえ、決定…,400万円～800万円
株式会社デジタルビジョン ,【会社都合の一方的な転勤なし／希望の勤務エリア確約♪】 ●引っ越し費用補助あり ●UIターン歓迎…,月給24万円以上＋手当(残業手当/交通費全額/家族手当等)＋賞与年2回 ★前職の給与保証！！★ 先輩たちは…,450万円～800万円
株式会社YAZ ,【WEB面接OK！／ほとんどの社員がリモート勤務！】 ◆渋谷本社・札幌支社・名古屋支社で募集！ ▼…,月給28万円以上 ＋ 各種手当 ＋ 賞与年2回 ※前職の月給以上を保証。 ※経験やスキルを考慮した上で決定…,400万円～850万円
ジャパニアス株式会社 ,【自社内または全国のプロジェクト先】 ＊転居を伴う転勤なし ＊U／Iターン歓迎 ＊全国で面接実施…,月給:28万円以上＋各種手当（残業代100％支給など）＋賞与年2回 ※経験・年齢・能力を考慮のうえ、決定…,400万円～800万円
ジャパニアス株式会社 ,品川開発センターまたは各プロジェクト先 ＊転居を伴う転勤なし ＊U／Iターン歓迎 【品川開発センタ…,月給:32万円〜60万円＋各種手当（残業代100％支給など）＋賞与年2回 ※経験・年齢・能力を考慮のうえ、…,500万円～900万円
