企業名,勤務地,給与,初年度年収
株式会社三協テクノ ,【テレワークも実施中】 本社（大阪市）もしくは、東大阪技術センタ（東大阪市）の勤務となります。 >…,"■大卒以上／月給19万5,800円〜 ■大卒未満／月給18万9,500円〜19万8,000円 【賞与昨年実績5.4ヵ月分】 …",初年度年収のデータなし
株式会社エフ・クルーズ ,本社 東京都千代田区一番町17-2 ラビ一番町4F [最寄り駅] 半蔵門駅 徒歩約3分 ※案件によ…,月給25万円〜55万円＋賞与（業績による） 【27歳・ITエンジニアの例】 前職時代：年収350万円 入社1年目…,350万円～700万円
KDDIエンジニアリング株式会社 ,★代々木にある本社オフィスでの勤務予定です（総合職採用のため転勤あり） ★「新宿」「都庁前」の2駅…,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキル等を考慮の上、優遇します。 ★…,450万円～650万円
株式会社三協テクノ ,【転勤なし／JR「尼崎駅」から徒歩15分】 兵庫技術センタ／兵庫県尼崎市下坂部3-4-30 ※U.…,"月給18万3,440円〜＋諸手当＋賞与年2回 【賞与昨年実績5.4ヵ月分】 ※経験・能力・年齢を考慮の上、当社…",初年度年収のデータなし
株式会社アイティープロデュース ,※出雲支社もしくは東京本社、広島支店の勤務先となります。 ※転勤はありません。 ※希望勤務地は考慮…,"【東京本社】 ■月給280,000円〜 【出雲支社、広島支店】 ■月給250,000円〜 ※年齢、経験、能力を考慮…",300万円～550万円
株式会社Everエフォート ,《転勤なし！オフィスは駅チカ！》 ・本社 【池袋オフィス】 東京都豊島区東池袋1-34-5　いちご…,月給：27万5000円〜50万円+インセンティブ＋諸手当 ※経験・スキルを考慮のうえ、決定します。 ※上記の…,400万円～1000万円
ミイダス株式会社 ,【転勤なし！U・Iターン歓迎！】 東京都新宿区西新宿3-7-1 新宿パークタワー20階,月給28万円以上＋インセンティブ ◎入社時想定年収600万円：入社時6ヶ月間の想定月収50万円 （月給28万円…,500万円～1000万円
ＳＯＭＰＯひまわり生命保険株式会社 ,転勤なし/Ｕターン歓迎 東京・横浜・札幌・仙台・名古屋・大阪・福岡・北九州の事業所にて募集 <<積…,月給30万円スタート ★モデル例 年収800万円／34歳 経験6年 年収600万円／32歳 経験4年 年収400万円／30…,350万円～600万円
株式会社ホットスタッフ名古屋 ,【 名古屋市にある5拠点のうち、希望を考慮して配属先を決定します 】 ■ホットスタッフ名古屋 名古…,"月給23万6,250円〜47万2,500円＋歩合手当 ※スキルや経験などを考慮した上で決定いたします。 ※42時間分…",初年度年収のデータなし
学校法人文際学園 ,★☆転勤ナシ／駅チカ勤務☆★ 高田馬場or目白いずれかの勤務となります。 〈高田馬場新館〉 東京都…,月給：28万円以上＋賞与年2回 年齢・経験・能力などを考慮し、決定します。 入社後3ヶ月〜最大1年内の試…,350万円～500万円
株式会社ティーネットジャパン ,《転居を伴う転勤なし／U・Iターン歓迎》 ★現在、テレワーク勤務も推奨しています！ ★本社・各事業…,【経験者】 月給23万円〜58万円＋賞与（2回）2.9〜4.4ヶ月 ★経験・能力・前職給与を考慮して決定 ★経験…,300万円～700万円
株式会社アライブ．ｃｏｍ ,★転勤なし ★テレワークOK 【本社】 東京都港区芝大門2-9-8　シャンデールビル4F 【プロジ…,月給30万円〜 ＋残業代100％別途支給 ＋各種手当 ＋賞与2回 ※【前職の給与以上】を保証します。 ※経験…,450万円～850万円
株式会社Moa ,【転勤なし！勤務店舗は希望を考慮します】 大阪府・兵庫県・京都府・奈良県内の いずれかの店舗に配属…,月給25万円(一律手当含む)〜 + 賞与(年2回) ★待遇条件の詳細については、面接でご相談ください！ ※上…,初年度年収のデータなし
株式会社エルバークギア ,《転居をともなう転勤なし／UIターンも歓迎♪》 ■中目黒本社 東京都目黒区中目黒4-8-5 藤井ビ…,月給18万円〜 ★経験者は前職の給与額を保証（スキルチェンジを除く）★ ※スキルや年齢を考慮して決定…,初年度年収のデータなし
KDDIエンジニアリング株式会社 ,★代々木にある本社オフィスでの勤務です ★「新宿」「都庁前」の2駅11路線からアクセス◎ ★テレワ…,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキル等を考慮の上、優遇します。 ★…,450万円～650万円
株式会社飯田産業 ,東京、神奈川、千葉、埼玉、栃木、茨城、群馬、静岡、愛知、大阪、兵庫、愛媛、宮城、富山、宮崎、沖縄の…,■月給22万円〜40万円＋歩合給制 【年収例】 700万円／30歳／経験5年 （月給29万円＋賞与220万円+歩合給…,300万円～700万円
株式会社free mova,《現在リモートワーク&WEB面接を実施中※本社目黒駅徒歩30秒》 本社／東京都品川区上大崎2-15…,月給23万円〜30万円＋賞与2回＋昇給2回＋インセンティブ ※上記金額には、固定残業手当30時間分（4万2000…,400万円～600万円
株式会社 たかしん興業 ,【転勤なし／単身用・世帯用住宅あり*／引っ越し費用一部負担*】 ■本社 岩手県花巻市円万寺字下堰田…,"月給：200,000円〜350,000円（一律手当含む）＋ 諸手当 ＋ 賞与 ※経験や能力を考慮のうえ、当社規定によ…",350万円～571万円
popIn株式会社 ,◆転勤なし ◆在宅勤務可能 東京都港区六本木6-10-1 六本木ヒルズ森タワー 39階 ★在宅勤務…,月給36.7万円〜51.4万円 ※待遇・条件については、年齢、経験、能力を考慮の上、社内規定に従って決定し…,500万円～700万円
株式会社リビングプラザ ,岐阜県養老郡養老町高田483-6 ※転勤なし ※UIターン歓迎,"月給180,000円~400,000円 ※あなたの経験、能力を考慮の上、決定いたします。",220万円～480万円
株式会社ジェイテック ,《原則転勤なし》 ※勤務地は希望を考慮します ※常駐先によりテレワークも実施 ＜東京オフィス＞ ◆…,＜東京オフィス＞ 月給21万円〜45万円 ＋ 賞与年2回 ＋ 諸手当（資格手当、家族手当など） ＜神奈川オ…,300万円～580万円
パーパス株式会社 ,下記拠点のいずれかに配属いたします。 ※勤務地は希望を考慮します。 ※U・Iターン歓迎！ 札幌／北…,月給22万2500円〜28万1820円 ※経験やスキルを考慮して決定します。 ※上記の金額には一律手当を含みま…,350万円～450万円
システム・エボリューション株式会社 ,【転居を伴う転勤なし】東京・大阪・名古屋・札幌の拠点または各都道府県のお客様先での業務となります。…,月給：25万円以上＋各種手当＋賞与年2回＋決算賞与 ※下限は新卒入社時の最低金額です。 ※経験・スキル…,430万円～650万円
損害保険ジャパン株式会社 ,"◇全国各地で募集中♪転勤なし◇ ＝★ご希望のエリアでご応募ください★＝ ■北海道 北海道/札幌市,…","[月給制] 東京/神奈川 19万5680円〜 埼玉/千葉/愛知(名古屋)/大阪 18万8540円〜 京都(京都)/兵庫(神戸,…",初年度年収のデータなし
株式会社セレブリックス ,★東京・大阪いずれかの営業所に勤務 ★東京本社と関西オフィスは、移転したばかりの綺麗なオフィスです…,【東京】 〈年俸制〉332万4000円〜420万円 ⇒月額27.7万〜35万円 ※上記金額には固定残業代として月7万4…,初年度年収のデータなし
株式会社 ソリューション・アンド・テクノロジー ,【転勤なし／リモートワークを導入しています】 〈本社〉 東京都千代田区四番町６番　東急番町ビル８階…,月給28万4600円〜69万3000円＋賞与年2回 ※経験・能力を考慮し、決定します。,400万円～970万円
株式会社広真アド ,＜転勤なし/高田馬場駅からすぐ!!アクセス良好＞ 東京都新宿区高田馬場4-3-12　アルク高田馬場…,<プロジェクトマネージャー候補> 月給42万円以上 <企画営業> 月給28万円以上 ※経験・年齢を考慮のうえ…,400万円～650万円
ビルトホーム株式会社 ,＼新社屋へ移転します！／ 〈新本社〉 東京都荒川区東日暮里3丁目27-6 ※現本社は亀戸駅徒歩3分…,○月給22万〜45万円+残業代+諸手当 ★年齢・経験・能力を考慮の上、当社規定により優遇致します。 ★残…,初年度年収のデータなし
株式会社IIJプロテック ,当社オフィス（飯田橋）または先方オフィスにご出社いただきます。 【当社所在地】 東京都千代田区富士…,月給19万円〜＋残業代全額支給 ※前職・経験を考慮し決定します。,300万円～500万円
株式会社エー・エス・エル ,東京都、埼玉県、神奈川県、千葉県内のプロジェクト先 ※希望、お住まいを考慮の上、決定します。 ※転…,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…,400万円～800万円
株式会社日本技研プロフェッショナルアーキテクト ,新宿本社または首都圏各事業所に配属。 ★配属先のプロジェクトにより、テレワーク可。 本社： 東京都…,"【未経験者】 月給209,294円〜+奨励手当 【経験者】 月給30〜60万円＋各種手当＋部下1人あたり手当2万円…",300万円～500万円
株式会社クレディセゾン ,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",600万円～1000万円
株式会社クレディセゾン ,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",600万円～1000万円
株式会社Lincs ,在宅ワーク、または本社勤務、または首都圏（東京／港区・新宿区・渋谷区含む、神奈川、千葉、埼玉）にあ…,月給35万円〜85万円 ※経験やスキルを考慮して決定します。 ※上記金額には20時間分の固定残業代（月4万7…,420万円～1000万円
株式会社SHIFT ,東京・大阪・名古屋・札幌・福岡の各拠点 ※本人の意志に沿わない転居を伴う転勤はなし ★全拠点最寄駅…,月給40万円〜100万円 ※経験・業績・貢献度に応じて、相談の上、決定いたします ※試用期間有り（3ヶ月／…,480万円～1200万円
株式会社クレディセゾン ,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",600万円～1000万円
株式会社SHIFT ,東京・大阪・名古屋・札幌・福岡の各拠点 ※本人の意志に沿わない転居を伴う転勤はなし ★全拠点最寄駅…,月給35万円〜80万円 ※経験・業績・貢献度に応じて、相談の上、決定いたします ※試用期間有り（3ヵ月／…,420万円～960万円
株式会社アイエスエフネット ,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給40万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当を別途支給 ★経験・スキルを考慮して…,480万円～1000万円
株式会社アイエスエフネット ,【リモート案件多数】 ★月~20万/年~240万のインセンティブ賞与 ★UIターン歓迎(上京時に寮…,<東京/埼玉/神奈川/千葉> (1)月給27万円~＋インセンティブ賞与・諸手当 <静岡/愛知/大阪> (2)月給26.5万…,306万円～1000万円
サンライズシステム株式会社 ,★転勤なし！ ★リモート案件8割！ 自社内(テレワーク可)or東京(渋谷区/港区/品川区等を中心と…,月給35万円以上 + 諸手当 + 賞与 ★前職の給与額以上を保証します！ ※試用期間3ヶ月（同条件） ※月給…,450万円～850万円
株式会社アイエスエフネット ,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給35万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当 ▼設計構築5年以上の経験者 【月給40…,450万円～1000万円
株式会社カナオコーポレーション ,【 転勤なし★駅チカ勤務地 】 ★東京都 or 愛知県 ★家賃補助4万円あり(社内規定あり)！ 遠…,【 月給25万円〜65万円(一律手当含む)＋諸手当 】 ◆経験者の方は、前職給与を考慮します◆ ※経験・ス…,350万円～850万円
株式会社アイテック ,※希望勤務地に配属《名古屋本社（「金山駅」より徒歩1分）or 金沢》／I・Uターン歓迎／海外出張の…,【 月給21万〜35万円＋各種手当（家族・役職・テレワークなど）＋賞与（年2回）】 ※残業手当は、100％支…,300万円～500万円
マリンテクノロジー株式会社 ,【勤務地は希望を考慮のうえ決定】 本社（目黒区）または全国（神奈川・静岡・大阪・高知）の業務先での…,"月給：基本給(213,000円〜350,000円)＋固定残業手当+その他諸手当+交通費 ※固定残業手当：33,480円〜57,…",350万円～750万円
パーソルエクセルHRパートナーズ株式会社 ,《勤務地はご希望に合わせて決定》 ★— 積極採用エリア —★ 札幌市・仙台市・ 東京23区・横浜市…,"◇関東／時給1,400〜1,800円 　⇒ 派遣期間の月収例：28万8,000円 ◇関西／時給1,200〜1,700円 　⇒ 派…",350万円～450万円
株式会社KSEシステムクリエイト ,【転勤なし／U・Iターン歓迎】 本社／東京都港区海岸2-1-24 NAC港ビル7F ☆本社またはプ…,月給21万円以上＋諸手当 ※能力給で大きく昇給も可能です！グッと年収もUPします♪ ※研修(最長4ヶ月)…,250万円～500万円
アデコ株式会社 ,★転勤なし ★首都圏または関西・東海エリア限定採用 各エリア内の大手・優良企業での勤務となります。…,月給23万9000円〜83万9000円 ＋ 残業代1分単位支給 ＋ 賞与（年2回） 【モデル月収例】 ・20代(構築経験…,350万円～1000万円
株式会社リクルートスタッフィング情報サービス ,東京エリア(東京、神奈川、千葉、埼玉)または大阪エリア(大阪、京都、兵庫、奈良)での勤務 【東京エ…,■首都圏：月給18.6万円以上＋各種手当 ■関西：月給17.6万円以上＋各種手当 ※経験、能力、保有資格等…,初年度年収のデータなし
株式会社野村総合研究所 ,【転勤なし／U・Iターン歓迎】札幌ソリューション開発部に配属します。 《札幌ソリューション開発部》…,"修士了／月給241,500円（2018年4月実績） 大学卒／月給221,500円（2018年4月実績） ※上記は新卒初任給…",初年度年収のデータなし
クックビズ株式会社 ,【転勤なし】 ◆大阪本社（営業エリア：大阪府内） 大阪府大阪市北区芝田2-7-18　LUCID S…,"月給32万〜42万円 ※経験・能力を考慮のうえ、優遇いたします ※見込み残業手当（45時間分／8万3,000円…",450万円～600万円
株式会社日本ヒュウマップ ,【全国（沖縄を除く）各地で募集中】 ※基本直行直帰スタイル ※店舗等の詳細はHPをご参照ください。…,"月給21万700円〜28万8,700円（時間外手当別途支給） ※年齢により金額が変わります。 ※その他条件により…",300万円～450万円
日鉄ソリューションズ株式会社 ,●本社／東京都港区虎ノ門一丁目17番1号 虎ノ門ヒルズビジネスタワー ★受動喫煙防止のための取り組…,"月給270,000円以上（諸手当を除く） 　※残業代は残業時間に応じて支給します。 　※経験・能力・前給・…",480万円～710万円
日鉄ソリューションズ株式会社 ,●本社（東京都港区）および都内の常駐先 ★受動喫煙防止のための取り組み★ 喫煙専用室を設置していま…,"月給270,000円以上（諸手当を除く） 　※残業代は残業時間に応じて支給します。 　※経験・能力・前給・…",480万円～710万円
株式会社JACOF ,【JR・地下鉄「五反田」駅 から徒歩7分！】 ※転勤はありません ※U・Iターン歓迎 ◇東京支社／…,月給 25万円〜 ＋ 諸手当（住宅手当etc.） 　 ★初年度より年収500万円以上を 　目指すことも可能です。 …,350万円～550万円
日鉄ソリューションズ株式会社 ,●本社（東京都港区）および都内の常駐先 ★受動喫煙防止のための取り組み★ 喫煙専用室を設置していま…,"月給270,000円以上（諸手当を除く） 　※残業代は残業時間に応じて支給します。 　※経験・能力・前給・…",480万円～710万円
マンパワーグループ株式会社 ,在宅・テレワーク実績あり♪ 《*正社員として、転居を伴う転勤なしで希望の勤務地で働けます*》 勤務…,【関西】 ◇大阪／月給19万5000円〜＋賞与 ◇兵庫／月給18万4000円〜＋賞与 ◇京都／月給18万3000円〜＋…,初年度年収のデータなし
株式会社スタッフサービス ,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(テレワーク実績あり) ★面接地エリア…,"月給21万5,000円以上＋各種手当（残業手当全額支給等） ※首都圏勤務の場合、月給23万5,000円以上＋各種…",300万円～600万円
株式会社スタッフサービス ,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(テレワーク実績あり) ★面接地エリア…,"月給21万5,000円以上＋各種手当（残業手当全額支給等） ※首都圏勤務の場合、月給23万5,000円以上＋各種…",300万円～700万円
株式会社スタッフサービス ,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(テレワーク実績あり) ★面接地エリア…,"月給21万5,000円以上＋各種手当（残業手当全額支給等） ※首都圏勤務の場合、月給23万5,000円以上＋各種…",300万円～600万円
株式会社スタッフサービス ,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(テレワーク実績あり) ★面接地エリア…,"月給21万5,000円以上＋各種手当（残業手当全額支給等） ※首都圏勤務の場合、月給23万5,000円以上＋各種…",300万円～600万円
株式会社スタッフサービス ,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(テレワーク実績あり) ★面接地エリア…,"月給21万5,000円以上＋各種手当（残業手当全額支給等） ※首都圏勤務の場合、月給23万5,000円以上＋各種…",300万円～700万円
株式会社アクシス・クリエイト ,東京など首都圏(東京・神奈川・埼玉・千葉)、関西(大阪、兵庫、京都)のプロジェクト先 ※リモートワ…,<首都圏（東京本社所属）> 月給21万4000円以上 <関西（大阪支店所属）> 月給20万3000円以上 ※経験・能…,250万円～500万円
株式会社NTTデータMHIシステムズ ,★テレワーク（自宅）もOK！ ★関東・名古屋・関西・中国・西日本で募集！ ◇関東※積極採用中 ・東…,月給20.6万円〜35万円+諸手当（管理職手当、家族手当、時間外手当、昼食費補助、住宅費補助等）+賞与（年…,450万円～850万円
株式会社インフラトップ ,★ご希望をお伺いした上で、六本木オフィス、難波校いずれかでの勤務となります。 ●六本木オフィス 東…,月給：25万円〜35万円 ※経験・能力・スキル等を考慮の上、当社規定により決定します。 ※固定残業代30…,300万円～500万円
株式会社ウイングプラス ,首都圏の各プロジェクト先【東京・神奈川・埼玉・千葉】 ★転勤なし ★U・Iターン歓迎 【プロジェク…,月給:25万円〜60万円＋諸手当（残業代100％支給など）＋賞与年3回＋決算賞与（業績による） ※経験・年…,350万円～700万円
SGビジネス株式会社 ,本社（横浜）または首都圏（東京・神奈川・千葉・埼玉）のプロジェクト先 ※勤務地は希望を考慮して決定…,月給:25万円〜45万円 ＋ 賞与年2回 ※経験・能力・スキル等を考慮の上、決定します。 ※固定残業代（40…,350万円～630万円
株式会社divx ,★転勤なし ★自社オフィス（出社）&在宅勤務 ★フルリモート（応相談） 在宅勤務（リモートワーク）…,【月給】37万5000円〜（固定残業代含む） ※内定を出す場合は【前職の給与以上】を保証します。 ※固定残…,450万円～1002万円
株式会社建設プロジェクトセンター ,＼引越し代全額負担／＼転勤なし／ マイカー通勤OK（専用駐車場有り） ◇熊本県菊池郡大津町引水21…,月給25万円〜 ＋ 諸手当 ※前職給与を最大限考慮します。 ※経験・資格などに応じて優遇します。 ※月給…,400万円～500万円
日本パナユーズ株式会社 ,《「本町」・「阿波座」駅スグ！》 本社／大阪府大阪市西区阿波座2-4-23 西本町大五ビル2階 ……,月給25万円〜+諸手当+賞与年2回 【月収例】 ＜設備管理＞月収30万円+諸手当+インセンティブ+賞与年2回 …,初年度年収のデータなし
ＳＯＭＰＯひまわり生命保険株式会社 ,転勤なし/Ｕターン歓迎 東京・横浜・札幌・仙台・名古屋・大阪・福岡・北九州の事業所にて募集 <<積…,月給30万円スタート ★モデル例 年収800万円／34歳 経験6年 年収600万円／32歳 経験4年 年収400万円／30…,350万円～600万円
株式会社センス ,当社各拠点の募集【東京本社（池袋）埼玉支社（大宮）群馬支店（高崎）福岡支店（赤坂）】 ＊本社・支店…,月給:24万円〜70万円＋インセンティブ＋各種手当 ※経験・スキルを考慮して決定いたします。 ※試用期間…,350万円～800万円
アクティブ・アイティ株式会社 ,東京本社または首都圏のプロジェクト先（東京、神奈川、千葉、埼玉） ＜東京＞ 千代田区、中央区、港区…,月給:30万円以上＋残業代100％支給＋賞与 ※前職給与を保証します。 ※入社お祝い金（50万円）あり ※経…,400万円～800万円
トキコシステムソリューションズ株式会社 ,【本社（神奈川県川崎市）】または【静岡事業所】に配属 ※希望を最大限に考慮します。 本社／神奈川県…,月給20万円〜35万円＋諸手当＋賞与（年間5.7ヶ月分／昨年実績） ※経験・年齢などを考慮の上、決定しま…,初年度年収のデータなし
株式会社ライズテック ,《在宅勤務実施中！》本社またはプロジェクト先(東京都内中心)での勤務となります。 ◆本社／東京都中…,月給23万円〜45万円 ※経験やスキル、前職時の給与を考慮した上で決定します。 【モデル月収】 ・28歳／…,300万円～550万円
クラウンコンサルティング株式会社 ,本社／東京都江東区青海2-7-4 the SOHO 7F ※転居を伴う転勤はありません。 ※研修期…,月給25万円以上＋賞与年2回 ※経験、能力を考慮の上、決定いたします。 ※上記には、固定残業代（月15時…,300万円～550万円
株式会社HYBES ,《転勤なし／在宅ワークOK》 東京都港区北青山1-2-3 青山ビル6階 〜アクセス〜 銀座線・半蔵…,【スタッフ】月給21.5万円〜45万円＋賞与年2回＋諸手当 【事業責任者】月給53万円＋賞与年2回＋諸手当 …,350万円～1000万円
KDDIエンジニアリング株式会社 ,★文京区にあるオフィスでの勤務となります ★JR山手線など、3駅3路線からアクセス◎ ★テレワーク…,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキル等を考慮の上、優遇します。 ★…,450万円～650万円
アップライブステージ株式会社 ,★転勤なし！ ★新宿本社および全国の営業所で積極採用！ ★U・Iターン支援あり！ 【本社】東京都新…,月給 25万円〜 +（実績給） ※経験・能力・実績などを考慮し、当社規定にて決定致します。 ※試用期間3ヶ…,300万円～600万円
ＳＯＭＰＯひまわり生命保険株式会社 ,転勤なし/Ｕターン歓迎 東京・横浜・札幌・仙台・名古屋・大阪・福岡・北九州の事業所にて募集 <<積…,月給30万円スタート ★モデル例 年収800万円／34歳 経験6年 年収600万円／32歳 経験4年 年収400万円／30…,350万円～600万円
ワークスアイディ株式会社 ,★転勤なし・U/Iターン歓迎 ★配属は希望を考慮します。 北海道・宮城県・東京都・愛知県・大阪府・…,月給：22万円〜70万円 ※経験・能力・スキル等を考慮の上、決定します。 ※試用期間6ヶ月（期間中の待遇…,300万円～800万円
株式会社アビリティ ,本社または東京23区内と首都圏（神奈川、埼玉、千葉）を中心とした各プロジェクト先 ※転勤はありませ…,"月給:35万円〜50万円＋賞与年2回 ※経験・能力を考慮の上で決定します。 ※固定残業代（月35時間／73,82…",450万円～1000万円
株式会社Freedoming ,都内を中心とした一都三県のプロジェクト先 ※希望を考慮し、配属します ※自社サービス・受託などの案…,"月給280,000円以上 ＋ 諸手当 ＋ 決算賞与（年1回） ※経験・能力を考慮した上で決定いたします。 ＜前…",336万円～600万円
株式会社ピーエスクリエイティブ ,★転勤なし／U・Iターン歓迎 ★西新宿のオシャレなオフィスも利用できる 東京都23区内を中心とした…,月給30万円〜 ＋ 各種手当 ★前職給与を保証します！ ※試用期間3カ月（待遇変化なし） ※当社給与規程に…,400万円～1000万円
東宝ホーム株式会社 ,◆希望しない転勤なし！◆社用車1人1台支給！ ◇ 熊本県熊本市中央区白山1丁目2-7／熊本支店 （…,月給32万円〜　 ＜モデル例＞ ・年収781万円／2級建築施工管理技士／経験6年 ・年収637万円／2級建築施…,450万円～600万円
オンタイムデリバリージャパン株式会社 ,《★渋谷本社・大阪支店で採用！》 《★勤務地は希望を考慮の上決定》 【渋谷本社】 〒150-004…,【本社】月給 25万円以上 ＋インセンティブ＋（賞与 ※年2回） ※固定残業代（月45時間分/6万9000円以上…,350万円～500万円
株式会社モバイルコミュニケーションズ ,＜基本的に転勤はありません＞ ◆東京・神奈川・埼玉・千葉・大阪の各プロジェクト先 ※勤務地の希望は…,"＜関東＞ ◆経験者の場合：月給23万0,000円以上＋各種手当＋賞与 ◆未経験の場合：月給18万5,000円以上＋…",250万円～600万円
株式会社エスユーエス ,全国のプロジェクト先 ※ご希望や通勤を考慮し、勤務地を決定します。 ※U・Iターン歓迎！ ＜プロジ…,月給30万円以上 ＋ 各種手当 + 賞与（年2回） ※経験や能力、前職給与などを十分に考慮いたします。 ※…,400万円～1000万円
株式会社ビルドイット ,《転居を伴う転勤なし》 ◆本社 港区芝大門1-10-11芝大門センタービル10F 〜アクセス〜 ・…,月給30万円〜50万円 ＋ 賞与年2回 ＼前職から年収の120%の増額をお約束します！／ ★経験やスキルに応じ…,400万円～675万円
